1520974834	2018-03-14 00:00	touch	62247411	2	https://yandex.ru/search/?text=программа передач&flag=rFqYZ8092	https://tv.mail.ru/sankt_peterburg/;https://tv.yandex.ru/2;http://www.ontvtime.ru/tv
1520975239	2018-03-14 00:07	touch	295150094	240	https://yandex.ru/search/?text=ваз тв программа передач на сегодня&client=621965	https://tv.mail.ru/toljatti/;http://ladamedia.ru/television/schedule;https://tv.yandex.ru/240
1520975846	2018-03-14 00:17	touch	211406706	213	https://yandex.ru/search/?text=программа передач на сегодня&client=493157	https://tv.mail.ru/;https://tv.yandex.ru/213;http://www.s-tv.ru/tv/
1520976215	2018-03-14 00:23	touch	211093969	20118	https://yandex.ru/search/?text=программа передач на сегодня	https://tv.mail.ru/;https://tv.yandex.ru/;http://www.ontvtime.ru/tv
1520976227	2018-03-14 00:23	touch	211265085	14	https://yandex.ru/search/?text=программа передач на сегодня&flag=AUBJu8666	https://tv.mail.ru/tver/;https://tv.yandex.ru/14;http://www.s-tv.ru/tv/
1520976328	2018-03-14 00:25	desktop	211249896	33	https://yandex.ru/search/?text=программа передач на сегодня	https://tv.mail.ru/;https://tv.yandex.ru/33;https://tv.mail.ru/vladikavkaz/
1520977049	2018-03-14 00:37	desktop	293400322	157	https://yandex.ru/search/?text=беларусь 2 программа передач на завтра&flag=f5881&flag=cl9415	https://tvset.tut.by/8/;http://tv.belta.by/program-ru/channel/86/;https://tv.mail.ru/minsk/channel/1164/
1520977089	2018-03-14 00:38	touch	62577804	194	https://yandex.ru/search/?text=программа передач&flag=abmf6336	https://tv.yandex.ru/194;https://tv.mail.ru/saratov/;https://tv.mail.ru/
1520977240	2018-03-14 00:40	desktop	205984170	54	https://yandex.ru/search/?text=программа передач на сегодня&rl=793	https://tv.mail.ru/ekaterinburg/;https://tv.yandex.ru/54;https://www.uralweb.ru/poster/tv/
1520978017	2018-03-14 00:53	desktop	60885841	213	https://yandex.ru/search/?text=программа передач&flag=arOfg9097	https://tv.yandex.ru/213;https://tv.mail.ru/;http://www.tele.ru/programma/moskva/
1520978250	2018-03-14 00:57	touch	259883166	10864	https://yandex.ru/search/?text=программа передач на сегодня все	https://tv.mail.ru/;http://www.ontvtime.ru/tv;https://tv.yandex.ru/
1520978962	2018-03-14 01:09	touch	62582505	213	https://yandex.ru/search/?text=программа передач&flag=n5964	https://tv.mail.ru/;http://www.s-tv.ru/tv/;https://tv.yandex.ru/213
1520979234	2018-03-14 01:13	desktop	210642737	213	https://yandex.ru/search/?text=программа передач на сегодня&flag=PT2743	https://tv.mail.ru/;https://tv.yandex.ru/213;http://www.s-tv.ru/tv/
1520979527	2018-03-14 01:18	touch	62577752	172	https://yandex.ru/search/?text=программа передач&id=Iy79gYk0aIMr0RCA	https://tv.yandex.ru/172;https://tv.mail.ru/ufa/;http://tv.ufanet.ru/
1520980132	2018-03-14 01:28	desktop	62533401	10274	https://yandex.ru/search/?text=программа передач&flag=ZCoYA6852&id=77T5Zlid9d1SYjUR	https://tvset.tut.by/;http://tv.belta.by/;https://tv.sb.by/
1520980141	2018-03-14 01:29	touch	4268063	10877	https://yandex.ru/search/?text=иллюзион программа передач	https://tv.yandex.ru/2/channels/illyuzion--123;https://tv.mail.ru/moskva/channel/1007/;http://www.programma.tv/illusion-plus/
1520980187	2018-03-14 01:29	desktop	211515643	213	https://yandex.ru/search/?text=программа передач на сегодня&flag=i3725	https://tv.mail.ru/;https://tv.yandex.ru/;http://www.s-tv.ru/tv/
1520980257	2018-03-14 01:30	touch	211406706	213	https://yandex.ru/search/?text=программа передач на сегодня	https://tv.mail.ru/;https://tv.yandex.ru/213;http://www.s-tv.ru/tv/
1520981274	2018-03-14 01:47	touch	153167477	154	https://yandex.ru/search/?text=сетанта спорт плюс программа передач&rl=124	https://tvset.tut.by/391/;http://only-tv.org/setanta-sports-plus.html;http://www.vsetv.com/schedule_channel_984_week.html
1520981577	2018-03-14 01:52	touch	364544193	62	https://yandex.ru/search/?text=программа передач на сегодня красноярск нст	https://tv.mail.ru/krasnojarsk/channel/929/;https://tv.yandex.ru/62/channels/nastoyashhee-strashnoe-televidenie-518;https://www.glaz.tv/program/nst
1520982255	2018-03-14 02:04	touch	231403424	213	https://yandex.ru/search/?text=программа передач на матч сегодня	https://tv.mail.ru/moskva/channel/2060/;https://matchtv.ru/tvguide;https://tv.yandex.ru/channels/match-1593
